id,headline,date,snippet,url,word_count,,,,,
5a902e68410cf7000162d97c,b'An Australian Model on Guns? Trump and Turnbull Reject Comparisons',2/23/18,"b'A Florida shooting survivor implored President Trump to emulate Australia\xe2\x80\x99s gun crackdown. But when Australia\xe2\x80\x99s prime minister visited the White House, the two said the nations are too different.'",https://www.nytimes.com/2018/02/23/us/politics/australia-gun-crackdown-trump-school-shooting.html,1242,,,,,
5a99bcd9410cf7000162eed6,b'Why It May Be Impossible to Measure the Impact of Stores Limiting Gun Sales',3/2/18,b'Major retailers have pledged to stop selling certain assault-style rifles and raise age requirements. But the potential effects are difficult to discern because sales data is limited.',https://www.nytimes.com/2018/03/02/business/gun-sales-impact.html,1078,,,,,
5a862fec410cf7000162c3db,b'Gunfire Erupts at a School. Leaders Offer Prayers. Children Are Buried. Repeat.',2/16/18,"b'Deadly shootings in schools have become a sad and distinct American ritual, with familiar images and a familiar response.'",https://www.nytimes.com/2018/02/15/us/florida-school-shooting-thoughts-prayers.html,1260,,,,,
5a95bbb8410cf7000162e46c,b'Parkland Massacre Thrusts Guns Into the Midterm Spotlight',2/27/18,b'Lawmakers in both parties are recalibrating their positions on gun control in the wake of the massacre at Marjory Stoneman Douglas High School.',https://www.nytimes.com/2018/02/27/us/politics/parkland-gun-control-politics-midterms.html,1631,,,,,
5aaa361e47de81a9012103dd,"b'Facing a Democratic Wave, Republicans Refuse to Throw Trump Overboard'",3/15/18,"b'Recent steps on a Russia inquiry, gun control measures and more illustrate a close alignment between congressional Republicans and President Trump.'",https://www.nytimes.com/2018/03/15/us/politics/trump-congressional-republicans-midterms.html,926,,,,,
5a8564d0410cf7000162c163,b'Why Is It So Hard for Democracy to Deal With Inequality?',2/15/18,b'Thomas Piketty has a few ideas.',https://www.nytimes.com/2018/02/15/opinion/democracy-inequality-thomas-piketty.html,1963,,,,,
5a86c4e3410cf7000162c546,b'Listen to \xe2\x80\x98The Daily\xe2\x80\x99: The Gun Behind So Many Mass Shootings',2/16/18,"b'The AR-15 assault rifle used in Parkland, Fla., this week was purchased legally, officials said. How did a weapon designed for warfare become easier to buy than a handgun?'",https://www.nytimes.com/2018/02/16/podcasts/the-daily/florida-shooting-ar-15.html,442,,,,,
5a862205410cf7000162c3b8,b'The Bad Parent Caucus',2/16/18,"b'Stuff the thoughts, hold the prayers, and do something to stop school shootings.'",https://www.nytimes.com/2018/02/15/opinion/florida-school-shooting-guns.html,845,,,,,
5a85fc6c410cf7000162c346,b'The Florida Massacre: \xe2\x80\x98End This Uniquely American Tragedy\xe2\x80\x99',2/15/18,"b'Outrage over yet another mass shooting at an American school, and calls for gun control.'",https://www.nytimes.com/2018/02/15/opinion/school-shooting.html,1122,,,,,
5a7c2a40d4211f00015bffba,b'Trump\xe2\x80\x99s Tool Kit Does Not Include the Constitution',2/8/18,b'No wonder we are losing faith in our democracy.',https://www.nytimes.com/2018/02/08/opinion/trump-democracy-midterm-elections.html,2112,,,,,
5a9892f2410cf7000162ec39,b'How Progressives Win the Culture War',3/1/18,b'The gun issue may be the final battle.',https://www.nytimes.com/2018/03/01/opinion/progressives-win-culture-war.html,854,,,,,
5a9499a8410cf7000162e194,b'The Force of Decency Awakens',2/26/18,"b'Something big is happening, and bad men in power should be very, very afraid.'",https://www.nytimes.com/2018/02/26/opinion/the-force-of-decency-awakens.html,863,,,,,
5a9536c9410cf7000162e2d2,b'Will We Ever Stop With the Political Games?',2/27/18,b'Pyeongchang and Parkland raise questions about what Washington is doing.',https://www.nytimes.com/2018/02/27/opinion/olympics-congress-guns.html,1547,,,,,
5a72efc0d4211f00015beb3a,b'Trump Has Got Democrats Right Where He Wants Them',2/1/18,"b'As far as the president\xe2\x80\x99s immigration plan goes, they are damned if they do and damned if they don\xe2\x80\x99t.'",https://www.nytimes.com/2018/02/01/opinion/trump-democrats-immigration.html,2708,,,,,
5a905985410cf7000162da2f,b'I\xe2\x80\x99m Republican. I Appreciate Assault Weapons. And I Support a Ban.',2/23/18,b'I\xe2\x80\x99m a congressman who was in the Army. I know how lethal these weapons are because I used them in combat.',https://www.nytimes.com/2018/02/23/opinion/brian-mast-assault-weapons-ban.html,991,,,,,
5ab48bc247de81a901215c91,b'Factbox: What Is in the $1.3 Trillion Spending Bill Before the Congress',3/23/18,b'The U.S. Congress is aiming to pass a $1.3 trillion spending bill and send it to President Donald Trump before a midnight Friday deadline to fund the U.S. government until Oct. 1 and avoid a shutdown.',https://www.nytimes.com/reuters/2018/03/23/us/politics/23reuters-usa-fiscal-congress-factbox.html,427,,,,,
5ab53c0e47de81a90121634c,"b'Parkland Students Scarred, Determined After Lives Changed Forever'",3/23/18,"b""Marjory Stoneman Douglas High School students Madeline Gaffney, Diego Pfeiffer and Kayla Sanseverino were normal teens focused on homework and college applications before last month's mass shooting catapulted them into the U.S. debate on gun right...""",https://www.nytimes.com/reuters/2018/03/23/us/23reuters-usa-guns-students.html,413,,,,,
